,id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
0,335982,Bangalore,2008-04-18,BB McCullum,M.Chinnaswamy Stadium,0,Bangalore,Kolkata,Bangalore,field,Kolkata,runs,140.0,No,Normal,Asad Rauf,RE Koertzen
1,335983,Chandigarh,2008-04-19,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",0,Punjab,Chennai,Chennai,bat,Chennai,runs,33.0,No,Normal,MR Benson,SL Shastri
2,335984,Delhi,2008-04-19,MF Maharoof,Feroz Shah Kotla,0,Delhi,Rajasthan,Rajasthan,bat,Delhi,wickets,9.0,No,Normal,Aleem Dar,GA Pratapkumar
3,335985,Mumbai,2008-04-20,MV Boucher,Wankhede Stadium,0,Mumbai,Bangalore,Mumbai,bat,Bangalore,wickets,5.0,No,Normal,SJ Davis,DJ Harper
4,335986,Kolkata,2008-04-20,DJ Hussey,Eden Gardens,0,Kolkata,Hyderabad,Hyderabad,bat,Kolkata,wickets,5.0,No,Normal,BF Bowden,K Hariharan
5,335987,Jaipur,2008-04-21,SR Watson,Sawai Mansingh Stadium,0,Rajasthan,Punjab,Punjab,bat,Rajasthan,wickets,6.0,No,Normal,Aleem Dar,RB Tiffin
6,335988,Hyderabad,2008-04-22,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",0,Hyderabad,Delhi,Hyderabad,bat,Delhi,wickets,9.0,No,Normal,IL Howell,AM Saheba
7,335989,Chennai,2008-04-23,ML Hayden,"MA Chidambaram Stadium, Chepauk",0,Chennai,Mumbai,Mumbai,field,Chennai,runs,6.0,No,Normal,DJ Harper,GA Pratapkumar
8,335990,Hyderabad,2008-04-24,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",0,Hyderabad,Rajasthan,Rajasthan,field,Rajasthan,wickets,3.0,No,Normal,Asad Rauf,MR Benson
9,335991,Chandigarh,2008-04-25,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",0,Punjab,Mumbai,Mumbai,field,Punjab,runs,66.0,No,Normal,Aleem Dar,AM Saheba
10,335992,Bangalore,2008-04-26,SR Watson,M.Chinnaswamy Stadium,0,Bangalore,Rajasthan,Rajasthan,field,Rajasthan,wickets,7.0,No,Normal,MR Benson,IL Howell
11,335993,Chennai,2008-04-26,JDP Oram,"MA Chidambaram Stadium, Chepauk",0,Chennai,Kolkata,Kolkata,bat,Chennai,wickets,9.0,No,Normal,BF Bowden,AV Jayaprakash
12,335994,Mumbai,2008-04-27,AC Gilchrist,Dr DY Patil Sports Academy,0,Mumbai,Hyderabad,Hyderabad,field,Hyderabad,wickets,10.0,No,Normal,Asad Rauf,SL Shastri
13,335995,Chandigarh,2008-04-27,SM Katich,"Punjab Cricket Association Stadium, Mohali",0,Punjab,Delhi,Delhi,bat,Punjab,wickets,4.0,No,Normal,RE Koertzen,I Shivram
14,335996,Bangalore,2008-04-28,MS Dhoni,M.Chinnaswamy Stadium,0,Bangalore,Chennai,Chennai,bat,Chennai,runs,13.0,No,Normal,BR Doctrove,RB Tiffin
